,home_matches_played,home_goals_scored_avg,home_goals_conceded_avg,home_win_rate,home_draw_rate,home_loss_rate,away_matches_played,away_goals_scored_avg,away_goals_conceded_avg,away_win_rate,away_draw_rate,away_loss_rate,total_matches_played,total_goals_scored_avg,total_goals_conceded_avg,overall_win_rate,recent_form
Como 1907,10.0,1.5,1.6,0.4,0.1,0.5,10.0,1.0,1.5,0.2,0.3,0.5,10.0,1.4,1.3,0.4,0.4
AC Monza,10.0,0.8,1.3,0.1,0.3,0.6,10.0,0.9,2.2,0.1,0.2,0.7,10.0,0.7,2.2,0.1,0.06666666666666667
Udinese Calcio,10.0,1.3,1.3,0.4,0.2,0.4,10.0,1.1,1.4,0.3,0.3,0.4,10.0,1.3,1.1,0.4,0.8666666666666667
Torino FC,10.0,0.8,0.8,0.3,0.4,0.3,10.0,1.1,1.6,0.1,0.4,0.5,10.0,1.2,1.2,0.2,0.5333333333333333
SSC Napoli,10.0,1.2,0.8,0.6,0.2,0.2,10.0,1.9,1.0,0.6,0.3,0.1,10.0,1.7,1.0,0.5,0.26666666666666666
AC Milan,10.0,1.1,0.7,0.4,0.5,0.1,10.0,1.3,1.4,0.4,0.1,0.5,10.0,1.3,1.2,0.4,0.4666666666666667
Bologna FC 1909,10.0,1.9,0.9,0.7,0.2,0.1,10.0,1.4,1.4,0.3,0.5,0.2,10.0,1.7,1.4,0.4,0.6666666666666666
Venezia FC,10.0,1.0,1.2,0.2,0.4,0.4,10.0,0.8,1.7,0.0,0.4,0.6,10.0,0.5,1.1,0.0,0.13333333333333333
Genoa CFC,10.0,1.1,1.1,0.3,0.4,0.3,10.0,0.8,1.1,0.3,0.3,0.4,10.0,1.1,1.0,0.4,0.4666666666666667
Empoli FC,10.0,0.5,1.9,0.1,0.2,0.7,10.0,1.2,2.2,0.1,0.3,0.6,10.0,0.8,2.7,0.0,0.06666666666666667
Juventus FC,10.0,1.9,1.0,0.5,0.5,0.0,10.0,1.5,1.1,0.4,0.5,0.1,10.0,1.7,0.9,0.6,0.8
ACF Fiorentina,10.0,1.7,1.1,0.6,0.1,0.3,10.0,1.6,0.9,0.5,0.1,0.4,10.0,1.1,1.3,0.4,0.4
FC Internazionale Milano,10.0,2.2,1.2,0.7,0.3,0.0,10.0,2.4,0.6,0.6,0.2,0.2,10.0,1.5,1.0,0.5,0.4666666666666667
US Lecce,10.0,0.6,1.6,0.2,0.4,0.4,10.0,0.9,1.5,0.3,0.1,0.6,10.0,0.7,1.4,0.2,0.3333333333333333
SS Lazio,10.0,2.0,1.5,0.5,0.3,0.2,10.0,1.5,0.9,0.6,0.1,0.3,10.0,1.7,1.1,0.4,0.5333333333333333
Parma Calcio 1913,10.0,1.3,1.5,0.3,0.2,0.5,10.0,0.9,1.9,0.1,0.3,0.6,10.0,0.9,1.3,0.2,0.2
Atalanta BC,10.0,1.9,1.0,0.5,0.4,0.1,10.0,2.4,0.3,0.8,0.2,0.0,10.0,1.7,0.7,0.3,0.6
Hellas Verona FC,10.0,0.7,2.4,0.3,0.1,0.6,10.0,1.0,1.9,0.3,0.1,0.6,10.0,0.6,1.5,0.3,0.4666666666666667
Cagliari Calcio,10.0,1.4,1.6,0.4,0.1,0.5,10.0,0.8,1.4,0.1,0.4,0.5,10.0,1.1,1.4,0.3,0.26666666666666666
AS Roma,10.0,2.2,0.9,0.6,0.1,0.3,10.0,1.1,1.6,0.3,0.3,0.4,10.0,2.2,0.6,0.7,0.8666666666666667
